License Issue Date;License Number;Animal's Name;Species;Primary Breed;Secondary Breed;ZIP Code
March 07 2022;8036840;Onyx;Cat;Domestic Longhair;Mix;98199
March 07 2022;142286;Barney;Cat;LaPerm;;98106
March 07 2022;S113726;Jack;Cat;Domestic Shorthair;;98115
March 07 2022;129314;Sidney;Cat;Domestic Shorthair;Mix;98115
March 07 2022;8017513;Sumi;Cat;Maine Coon;Mix;98115
March 07 2022;8036844;Goose;Cat;Domestic Shorthair;Mix;98112
March 08 2022;S141277;Cosmo;Cat;Domestic Shorthair;;98105
March 08 2022;S141276;Luna;Cat;Domestic Shorthair;;98105
March 08 2022;S111900;Bill;Cat;Domestic Medium Hair;Mix;98103
March 08 2022;8036850;Oona;Cat;Bengal;;98108
March 08 2022;8036851;Loki Skywalker;Cat;Bengal;;98108
March 08 2022;S110071;Snowball;Cat;Domestic Shorthair;;98117
March 08 2022;129463;Sahalee;Cat;Pixie-Bob;;98103
March 08 2022;134195;Aki;Cat;Domestic Shorthair;;98115
March 08 2022;208055;Rowan;Cat;Domestic Shorthair;;98115
March 08 2022;S154229;Yin;Cat;Domestic Shorthair;Mix;98125
March 08 2022;S154230;Yang;Cat;Domestic Shorthair;Mix;98125
March 08 2022;8036855;Frodo;Cat;York Chocolate;Mix;98103
March 08 2022;8016117;Boots;Cat;American Shorthair;Mix;98117
March 08 2022;8016275;Kira;Cat;Domestic Shorthair;Mix;98106
March 08 2022;S110834;Olivier;Cat;Domestic Shorthair;Mix;98117
March 08 2022;8016345;Max;Cat;Domestic Shorthair;Mix;98116
March 08 2022;8016344;Frankie;Cat;Domestic Shorthair;Mix;98116
March 08 2022;S126868;Tucker;Cat;Domestic Shorthair;Mix;98121
March 08 2022;8036870;Lilac;Cat;American Shorthair;Mix;98117
March 08 2022;S130109;Seamus;Cat;Domestic Shorthair;Mix;98117
March 08 2022;S157874;Zoey;Cat;Domestic Shorthair;Mix;98107
March 08 2022;S157875;Sweet Pea;Cat;Domestic Shorthair;Mix;98107
March 08 2022;S113882;Chai;Cat;Domestic Shorthair;;98117
March 08 2022;S113883;Masala;Cat;Domestic Shorthair;;98117
March 08 2022;134135;Gracie;Cat;Domestic Shorthair;;98117
March 08 2022;S112480;Milo;Cat;Domestic Longhair;Maine Coon;98117
March 09 2022;134145;Sylvanas;Cat;Norwegian Forest;Mix;98103
March 09 2022;8016370;Luna;Cat;Domestic Shorthair;Mix;98144
March 09 2022;83259;Watson;Cat;Domestic Shorthair;;98117
March 09 2022;142129;Mocha;Cat;Ragdoll;;98125
March 09 2022;S141534;Annie  (Tabby);Cat;Domestic Shorthair;;98103
March 09 2022;S156991;Shadow;Cat;Domestic Shorthair;Mix;98103
March 09 2022;S134465;Diesel;Cat;Domestic Shorthair;Mix;98103
March 09 2022;S158591;Mr. Simba;Cat;Siamese;;98109
March 09 2022;S141253;Tiana;Cat;Domestic Shorthair;;98199
March 09 2022;S129110;Morris Boney T MacGuffie Hunter;Cat;Domestic Medium Hair;;98117
March 09 2022;S158598;Millicent;Cat;Domestic Medium Hair;Mix;98102
March 09 2022;140780;Booberry;Cat;Domestic Medium Hair;Mix;98125
March 09 2022;8036903;Bandit;Cat;Domestic Longhair;Mix;98103
March 09 2022;8036904;Smokey;Cat;Domestic Shorthair;Mix;98103
March 09 2022;8016118;Eleanor;Cat;American Shorthair;Mix;98101
March 10 2022;S157896;Nova;Cat;Domestic Shorthair;Mix;98105
March 10 2022;133212;Daisy;Cat;Maine Coon;Domestic Medium Hair;98107
March 10 2022;133222;Thumper;Cat;Domestic Medium Hair;Maine Coon;98107
March 10 2022;128315;Kali;Cat;Domestic Shorthair;;98125
March 10 2022;8016318;Bella Jane;Cat;Siamese;Mix;98125
March 10 2022;133272;Priscilla;Cat;Domestic Longhair;;98107
March 10 2022;8016131;Pesto;Cat;American Shorthair;Mix;98125
March 10 2022;S158704;Mystery;Cat;Domestic Shorthair;Mix;98103
March 10 2022;S131890;Akio;Cat;Burmese;;98117
March 10 2022;S131889;Yoko;Cat;Burmese;;98117
March 11 2022;895990;Mink;Cat;Domestic Longhair;;98112
March 11 2022;133432;Cody;Cat;Domestic Medium Hair;;98107
March 11 2022;S134479;Felicia;Cat;Domestic Shorthair;Mix;98117
March 11 2022;8016060;Isla;Cat;Domestic Shorthair;Mix;98117
March 11 2022;S141215;Dottie;Cat;Domestic Longhair;;98177
March 12 2022;8016159;Valkyrie;Cat;Domestic Shorthair;Mix;98115
March 12 2022;S141923;Ohana;Cat;Domestic Longhair;;98103
March 12 2022;905279;Sasha;Cat;Siamese;Domestic Medium Hair;98115
March 12 2022;8016354;Carlos;Cat;Maine Coon;Mix;98119
March 12 2022;S157066;Mercury;Cat;Domestic Shorthair;Mix;98104
March 12 2022;8036967;BJ;Cat;American Shorthair;Mix;98199
March 12 2022;8036973;Cheddar;Cat;Domestic Shorthair;Mix;98115
March 12 2022;8036977;Oskar Pritchard;Cat;Domestic Shorthair;Mix;98125
March 12 2022;8036978;Creamy;Cat;Domestic Shorthair;;98103
March 12 2022;140772;Frida;Cat;Domestic Shorthair;;98118
March 12 2022;133789;Thumper;Cat;Domestic Shorthair;;98125
March 13 2022;S157899;Honey Bun;Cat;Domestic Longhair;Mix;98107
March 13 2022;S157900;Olga;Cat;Domestic Shorthair;Mix;98109
March 13 2022;133309;Buddy;Cat;Domestic Shorthair;;98199
March 13 2022;S156995;Bear;Cat;Domestic Medium Hair;;98117
March 13 2022;133872;Ruby;Cat;Domestic Shorthair;;98125
