YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Sample_Size,Gender,Age,Education
2014-2015,MS,Mississippi,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,669,Female,All Ages,All Grades
1998-1999   ,MT,Montana,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,496,Overall,All Ages,All Grades
1992-1993   ,TX,Texas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,5750,Male,All Ages,All Grades
2003,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,3187,Overall,All Ages,All Grades
1992-1993,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,341,Overall,All Ages,All Grades
2006-2007   ,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,214,Male,All Ages,All Grades
2006-2007   ,TX,Texas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,1054,Male,All Ages,All Grades
1992-1993   ,VT,Vermont,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,2227,Overall,All Ages,All Grades
2006-2007   ,VA,Virginia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,446,Overall,All Ages,All Grades
1998-1999   ,MT,Montana,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1763,Female,All Ages,All Grades
1992-1993   ,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,508,Male,All Ages,All Grades
1995-1996   ,ID,Idaho,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,487,Overall,All Ages,All Grades
1992-1993   ,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,1575,Male,All Ages,All Grades
1995-1996,CT,Connecticut,Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,1166,Overall,All Ages,All Grades
1992-1993   ,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1395,Male,All Ages,All Grades
2010-2011,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,3450,Overall,All Ages,All Grades
2003,AK,Alaska,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,555,Female,All Ages,All Grades
2014-2015,TX,Texas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,12055,Overall,All Ages,All Grades
2010-2011,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,515,Overall,All Ages,All Grades
2014-2015,ND,North Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Smoking Status,TUS-CPS,Former,1514,Female,All Ages,All Grades
2010-2011,CT,Connecticut,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,5055,Overall,All Ages,All Grades
2010-2011,NY,New York,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,4370,Male,All Ages,All Grades
2010-2011,CT,Connecticut,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,2341,Male,All Ages,All Grades
2006-2007   ,CO,Colorado,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,453,Overall,All Ages,All Grades
2001-2002   ,DE,Delaware,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,176,Male,All Ages,All Grades
1992-1993   ,LA,Louisiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,2823,Overall,All Ages,All Grades
1995-1996,WA,Washington,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,599,Female,All Ages,All Grades
2003,WA,Washington,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,509,Overall,18 to 24 Years,All Grades
1995-1996   ,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,310,Female,All Ages,All Grades
2003,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,903,Overall,Age 20 and Older,12th Grade
2010-2011,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,4735,Overall,All Ages,All Grades
1992-1993   ,AK,Alaska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2699,Overall,All Ages,All Grades
2001-2002,NC,North Carolina,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,414,Female,All Ages,All Grades
2014-2015,OH,Ohio,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Current,3313,Female,All Ages,All Grades
2014-2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,4278,Overall,All Ages,All Grades
2010-2011,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,249,Overall,All Ages,All Grades
1998-1999   ,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,865,Overall,45 to 64 Years,All Grades
2006-2007   ,CA,California,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,18048,Overall,All Ages,All Grades
2010-2011,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
1998-1999   ,DE,Delaware,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1083,Male,All Ages,All Grades
2001-2002   ,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,5723,Overall,All Ages,All Grades
1998-1999   ,MO,Missouri,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,218,Female,All Ages,All Grades
2003,MN,Minnesota,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1966,Female,All Ages,All Grades
1995-1996   ,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,385,Male,All Ages,All Grades
2006-2007,NM,New Mexico,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1202,Female,All Ages,All Grades
2003,RI,Rhode Island,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,4207,Overall,All Ages,All Grades
1998-1999   ,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,908,Male,All Ages,All Grades
1992-1993   ,AL,Alabama,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,326,Male,All Ages,All Grades
2010-2011,SD,South Dakota,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,3650,Overall,All Ages,All Grades
1992-1993   ,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,488,Overall,Age 25 and Older,<12th Grade
1998-1999   ,VA,Virginia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,243,Male,All Ages,All Grades
2010-2011,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2477,Overall,All Ages,All Grades
2010-2011,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,,Female,All Ages,All Grades
2006-2007,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2752,Overall,All Ages,All Grades
1998-1999   ,IL,Illinois,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,4250,Male,All Ages,All Grades
1992-1993,MT,Montana,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,951,Male,All Ages,All Grades
1995-1996   ,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,1235,Male,All Ages,All Grades
2006-2007   ,MT,Montana,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1408,Overall,Age 20 and Older,>12th Grade
2001-2002   ,MT,Montana,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,796,Overall,Age 25 and Older,12th Grade
1998-1999   ,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,673,Overall,45 to 64 Years,All Grades
1998-1999   ,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,355,Overall,All Ages,All Grades
2003,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,342,Male,All Ages,All Grades
2006-2007   ,HI,Hawaii,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1878,Female,All Ages,All Grades
2014-2015,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,325,Overall,Age 20 and Older,<12th Grade
2006-2007   ,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,728,Female,All Ages,All Grades
2006-2007,OR,Oregon,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,3273,Overall,All Ages,All Grades
2014-2015,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,3262,Overall,All Ages,All Grades
2014-2015,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1757,Female,All Ages,All Grades
1992-1993,WY,Wyoming,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,179,Male,All Ages,All Grades
2014-2015,OR,Oregon,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1759,Female,All Ages,All Grades
1992-1993   ,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,3765,Overall,All Ages,All Grades
2014-2015,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,,Female,All Ages,All Grades
1992-1993   ,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,957,Overall,All Ages,All Grades
2001-2002   ,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,590,Overall,Age 25 and Older,<12th Grade
2003,AL,Alabama,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Current,1864,Female,All Ages,All Grades
2006-2007,ME,Maine,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,2442,Female,All Ages,All Grades
2003,MS,Mississippi,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1305,Female,All Ages,All Grades
1992-1993   ,NY,New York,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,10116,Female,All Ages,All Grades
2014-2015,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,3017,Overall,All Ages,All Grades
2014-2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1750,Female,All Ages,All Grades
2006-2007   ,NM,New Mexico,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1196,Female,All Ages,All Grades
1995-1996   ,VA,Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1517,Overall,25 to 44 Years,All Grades
1998-1999   ,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2722,Female,All Ages,All Grades
1995-1996   ,NH,New Hampshire,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,>25 Cigarettes,215,Female,All Ages,All Grades
1995-1996   ,NY,New York,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2786,Overall,65 Years and Older,All Grades
1998-1999   ,MS,Mississippi,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1587,Female,All Ages,All Grades
2003,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,813,Overall,65 Years and Older,All Grades
2014-2015,NM,New Mexico,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,,Female,All Ages,All Grades
1995-1996,MI,Michigan,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,2088,Female,All Ages,All Grades
1998-1999   ,CT,Connecticut,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1119,Male,All Ages,All Grades
1998-1999   ,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,>25 Cigarettes,254,Male,All Ages,All Grades
1998-1999   ,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,1118,Male,All Ages,All Grades
2003,WV,West Virginia,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Current,3618,Overall,All Ages,All Grades
2010-2011,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,216,Male,All Ages,All Grades
2003,MS,Mississippi,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Current,1014,Male,All Ages,All Grades
1992-1993,MA,Massachusetts,Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,4983,Overall,All Ages,All Grades
1998-1999,PA,Pennsylvania,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,1747,Male,All Ages,All Grades
2014-2015,TX,Texas,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,1085,Female,All Ages,All Grades
1992-1993   ,MT,Montana,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,492,Overall,Age 20 and Older,<12th Grade
2010-2011,VA,Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
2006-2007   ,KY,Kentucky,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,1865,Female,All Ages,All Grades
2014-2015,OR,Oregon,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,313,Overall,18 to 24 Years,All Grades
2014-2015,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,Age 20 and Older,<12th Grade
2006-2007   ,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,1336,Overall,All Ages,All Grades
2006-2007,MA,Massachusetts,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,966,Overall,All Ages,All Grades
1995-1996   ,WA,Washington,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,340,Female,All Ages,All Grades
2003,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1094,Male,All Ages,All Grades
1995-1996   ,ME,Maine,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,1247,Male,All Ages,All Grades
2001-2002   ,MN,Minnesota,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,2163,Male,All Ages,All Grades
1995-1996   ,AK,Alaska,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1060,Male,All Ages,All Grades
2006-2007   ,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,437,Male,All Ages,All Grades
2006-2007   ,UT,Utah,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,>25 Cigarettes,94,Male,All Ages,All Grades
2003,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,969,Overall,All Ages,All Grades
2001-2002   ,NC,North Carolina,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,2206,Male,All Ages,All Grades
2001-2002   ,OK,Oklahoma,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Current,3227,Overall,All Ages,All Grades
2003,CO,Colorado,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,2393,Female,All Ages,All Grades
2003,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,2469,Female,All Ages,All Grades
2006-2007   ,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,435,Female,All Ages,All Grades
2010-2011,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1029,Male,All Ages,All Grades
1998-1999   ,NM,New Mexico,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,3177,Overall,All Ages,All Grades
2014-2015,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,1874,Male,All Ages,All Grades
2006-2007   ,SD,South Dakota,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1933,Female,All Ages,All Grades
2003,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,3360,Overall,All Ages,All Grades
1998-1999   ,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,3039,Overall,All Ages,All Grades
1998-1999   ,NC,North Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,3136,Female,All Ages,All Grades
2014-2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,953,Female,All Ages,All Grades
2006-2007,MD,Maryland,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,770,Female,All Ages,All Grades
1998-1999   ,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,133,Male,All Ages,All Grades
2001-2002   ,MT,Montana,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1391,Female,All Ages,All Grades
1995-1996   ,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,373,Female,All Ages,All Grades
1992-1993   ,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
1992-1993   ,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1403,Male,All Ages,All Grades
2006-2007   ,KS,Kansas,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Current,1793,Female,All Ages,All Grades
2006-2007,NE,Nebraska,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,502,Male,All Ages,All Grades
1995-1996   ,AR,Arkansas,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1703,Female,All Ages,All Grades
1992-1993,MO,Missouri,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,732,Female,All Ages,All Grades
2003,IL,Illinois,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,7872,Overall,All Ages,All Grades
2006-2007   ,HI,Hawaii,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,3413,Overall,All Ages,All Grades
1992-1993   ,NY,New York,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,18330,Overall,All Ages,All Grades
2014-2015,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Smoking Status,TUS-CPS,Former,1843,Male,All Ages,All Grades
2010-2011,MO,Missouri,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1955,Female,All Ages,All Grades
2014-2015,IA,Iowa,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,3098,Overall,All Ages,All Grades
2014-2015,UT,Utah,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,968,Overall,All Ages,All Grades
1998-1999   ,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,865,Overall,All Ages,All Grades
1992-1993   ,WA,Washington,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,1418,Male,All Ages,All Grades
2010-2011,VA,Virginia,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,195,Male,All Ages,All Grades
1995-1996   ,MN,Minnesota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,1758,Female,All Ages,All Grades
2014-2015,MT,Montana,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,356,Overall,All Ages,All Grades
2006-2007   ,ID,Idaho,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,>25 Cigarettes,267,Overall,All Ages,All Grades
2003,IL,Illinois,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,3680,Male,All Ages,All Grades
2003,MT,Montana,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2604,Overall,All Ages,All Grades
1998-1999   ,KY,Kentucky,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1524,Female,All Ages,All Grades
1995-1996,KY,Kentucky,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,1002,Overall,All Ages,All Grades
2010-2011,NM,New Mexico,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,242,Overall,All Ages,All Grades
2010-2011,NJ,New Jersey,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,154,Male,All Ages,All Grades
2006-2007,RI,Rhode Island,Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,2077,Overall,All Ages,All Grades
1992-1993   ,DE,Delaware,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,165,Male,All Ages,All Grades
1995-1996   ,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1311,Male,All Ages,All Grades
2006-2007   ,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,3383,Overall,All Ages,All Grades
2014-2015,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,587,Overall,All Ages,All Grades
2006-2007,ME,Maine,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,1448,Overall,All Ages,All Grades
1995-1996   ,MT,Montana,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1784,Female,All Ages,All Grades
2003,WY,Wyoming,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1560,Male,All Ages,All Grades
2001-2002   ,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,3753,Overall,All Ages,All Grades
1998-1999,MA,Massachusetts,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,897,Male,All Ages,All Grades
1992-1993   ,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
2003,IA,Iowa,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,637,Male,All Ages,All Grades
1995-1996   ,NC,North Carolina,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,7703,Overall,All Ages,All Grades
1992-1993   ,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,1521,Male,All Ages,All Grades
2010-2011,AL,Alabama,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,1377,Female,All Ages,All Grades
2001-2002   ,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,5082,Female,All Ages,All Grades
