YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Sample_Size,Gender,Age,Education
2010-2011,SC,South Carolina,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,605,Female,All Ages,All Grades
2006-2007,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,6612,Overall,All Ages,All Grades
1992-1993,WI,Wisconsin,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,2248,Overall,All Ages,All Grades
2001-2002   ,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,765,Overall,All Ages,All Grades
2010-2011,OR,Oregon,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,493,Male,All Ages,All Grades
2014-2015,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,387,Overall,All Ages,All Grades
1992-1993   ,MT,Montana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,3769,Overall,All Ages,All Grades
2003,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1117,Female,All Ages,All Grades
2001-2002   ,MD,Maryland,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1821,Male,All Ages,All Grades
2003,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,2573,Overall,All Ages,All Grades
2010-2011,AZ,Arizona,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Current,1474,Female,All Ages,All Grades
1995-1996,VA,Virginia,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,904,Female,All Ages,All Grades
1998-1999   ,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,705,Female,18 to 44 Years,All Grades
1998-1999   ,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,270,Female,All Ages,All Grades
1992-1993   ,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,2515,Overall,All Ages,All Grades
2003,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,3394,Overall,All Ages,All Grades
2010-2011,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,1394,Female,All Ages,All Grades
1995-1996   ,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1930,Overall,All Ages,All Grades
2010-2011,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,224,Male,All Ages,All Grades
2010-2011,OH,Ohio,Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,3327,Overall,All Ages,All Grades
2006-2007,AK,Alaska,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,995,Overall,All Ages,All Grades
1995-1996   ,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,177,Male,All Ages,All Grades
1995-1996   ,HI,Hawaii,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,971,Male,All Ages,All Grades
2003,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,2115,Female,All Ages,All Grades
2001-2002   ,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,357,Overall,Age 25 and Older,<12th Grade
2006-2007   ,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,838,Overall,All Ages,All Grades
2010-2011,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,155,Female,All Ages,All Grades
1998-1999   ,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,2978,Overall,All Ages,All Grades
2003,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1713,Female,All Ages,All Grades
2003,NC,North Carolina,Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,2701,Overall,All Ages,All Grades
1998-1999   ,ME,Maine,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1248,Male,All Ages,All Grades
2014-2015,VA,Virginia,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,703,Male,All Ages,All Grades
